time,cmd_lin_x,cmd_ang_z
1746638386.6632354,0.15,0.0
1746638386.965506,0.15,0.0
1746638387.2781258,0.15,0.0
1746638387.6014497,0.15,0.0
1746638387.9855633,0.15,0.0
1746638388.3985996,0.15,0.0
1746638388.7681332,0.15,0.0
1746638389.0116076,0.15,0.0
1746638389.402736,0.15,0.0
1746638389.7954786,0.15,0.0
1746638390.2026017,0.15,0.0
1746638390.4952412,0.15,0.0
1746638390.9702387,0.15,0.0
1746638391.2791693,0.15,0.0
1746638391.6007788,0.15,0.0
1746638391.964319,0.15,0.0
1746638392.1861012,0.15,0.0
1746638392.4847941,0.15,0.0
1746638392.7801006,0.15,0.0
1746638393.1883025,0.15,0.0
1746638393.4753788,0.15,0.0
1746638393.7730126,0.15,0.0
1746638394.0972738,0.15,0.0
1746638394.4670665,0.15,0.0
1746638394.6828582,0.15,0.0
1746638395.0687878,-0.05,0.8035687699104108
1746638395.4647324,0.0,0.3
1746638395.7081647,0.0,0.3
1746638395.9945858,0.0,0.3
1746638396.3893154,0.0,0.3
1746638396.7072065,0.0,0.3
1746638396.9858475,0.0,0.3
1746638397.2848704,-0.05,-0.7444522953940648
1746638397.5806494,0.0,0.3
1746638397.8896449,0.0,0.3
1746638398.3680003,0.0,0.3
1746638398.59375,0.0,0.3
1746638398.971167,0.0,0.3
1746638399.2064905,0.0,0.3
1746638399.5626762,-0.05,-1.4559175700966254
1746638399.8100655,0.0,0.3
1746638400.1911767,0.0,0.3
1746638400.5662055,0.0,0.3
1746638400.9004734,0.0,0.3
1746638401.3129616,0.0,0.3
1746638401.6013596,-0.05,-1.191312878180524
1746638401.9843445,0.0,0.3
1746638402.2845917,0.0,0.3
1746638402.5912888,0.0,0.3
1746638402.8784988,0.0,0.3
1746638403.1767719,0.0,0.3
1746638403.5632846,0.0,0.3
1746638403.8668058,-0.05,0.8921433510544263
1746638404.1822212,0.0,0.3
1746638404.5032423,0.15,0.0
1746638404.8098211,0.0,0.3
1746638405.297365,0.0,0.3
1746638405.686731,0.0,0.3
1746638406.0115774,0.15,0.0
1746638406.3032424,-0.05,-0.07213623008673453
1746638406.8142478,0.0,0.3
1746638407.182735,0.15,0.0
1746638407.5871985,0.0,0.3
1746638408.067173,0.0,0.3
1746638408.3992786,0.15,0.0
1746638408.7721598,-0.05,1.153929270132232
1746638409.1866736,0.0,0.3
1746638409.5690665,0.15,0.0
1746638409.8658357,0.1,0.5
1746638410.1022716,0.1,0.5
1746638410.4758468,0.1,0.5
1746638410.8717215,0.1,0.5
1746638411.199602,0.1,0.5
1746638411.5731347,0.1,0.5
1746638411.9676974,0.1,0.5
1746638412.3692193,0.1,0.5
1746638412.7676938,0.1,0.5
1746638413.1850517,0.1,0.5
1746638413.565718,0.1,0.5
1746638413.9628766,0.1,0.5
1746638414.3821447,0.1,0.5
1746638414.773203,0.15,0.0
1746638415.0995905,0.15,0.0
1746638415.3954036,0.15,0.0
1746638415.8814557,0.15,0.0
1746638416.1053817,0.15,0.0
1746638416.4884331,0.15,0.0
1746638416.784524,0.15,0.0
1746638417.2085023,0.15,0.0
1746638417.5854285,0.15,0.0
1746638418.0015576,0.15,0.0
1746638418.3640752,0.15,0.0
1746638418.6643813,0.15,0.0
1746638418.9662056,0.15,0.0
1746638419.2900655,0.15,0.0
1746638419.5633168,0.15,0.0
1746638419.7862144,0.15,0.0
1746638420.0686648,0.15,0.0
1746638420.3690248,0.15,0.0
1746638420.7034266,0.15,0.0
1746638421.173443,0.15,0.0
1746638421.5812824,0.15,0.0
1746638421.8724108,-0.05,0.2084376692072918
1746638422.1813784,0.0,0.3
1746638422.487673,0.0,0.3
1746638422.8735886,0.0,0.3
1746638423.2754357,0.0,0.3
1746638423.5650587,0.0,0.3
1746638423.867586,0.0,0.3
1746638424.1834154,-0.05,0.934254626524532
1746638424.504638,0.0,0.3
1746638424.900575,0.15,0.0
1746638425.3840368,0.15,0.0
1746638425.6803408,0.15,0.0
1746638426.0765522,0.0,0.3
1746638426.4672616,0.15,0.0
1746638426.7638876,0.15,0.0
1746638427.0702045,0.15,0.0
1746638427.4059217,0.15,0.0
1746638427.7652373,0.15,0.0
1746638428.0022292,0.15,0.0
1746638428.4698403,0.1,0.5
1746638428.7767365,0.1,0.5
1746638429.0748725,0.1,0.5
1746638429.4633512,0.15,0.0
1746638429.886837,0.15,0.0
1746638430.2626188,0.15,0.0
1746638430.5754974,0.15,0.0
1746638430.8827646,0.1,0.5
1746638431.1990316,0.1,0.5
1746638431.4878294,0.1,0.5
1746638431.8060749,0.15,0.0
1746638432.1685984,0.15,0.0
1746638432.471919,0.15,0.0
1746638432.8798072,0.15,0.0
1746638433.2852755,0.15,0.0
1746638433.6626027,0.15,0.0
1746638433.998114,0.15,0.0
