time,x,y,lin_vel,ang_vel
1746638362.3940532,-0.48898153423026725,-0.5000017244055088,0.15000079717383166,-6.809046723416632e-08
1746638362.4694104,-0.4838815394674496,-0.5000017262832802,0.1500023730498259,-2.8840314392846568e-08
1746638362.5014818,-0.47878154014273655,-0.5000017281083556,0.15000429458201045,-8.847759122021687e-10
1746638362.5809028,-0.4736815343914341,-0.5000017298881709,0.1500041293070931,-2.8159688931883813e-09
1746638362.6055129,-0.4685815184398954,-0.5000017315819254,0.1500034989764639,-4.3584560544465316e-09
1746638362.6742716,-0.463481492302293,-0.500001733181286,0.1500028188810969,-1.0350686648663774e-08
1746638362.7051907,-0.45838147211651015,-0.5000017349371667,0.15000480264117239,-6.6167187663642575e-09
1746638362.776828,-0.45328146533419855,-0.5000017365678533,0.15000092254967864,-4.012190300991373e-08
1746638362.8750226,-0.4481814797865954,-0.5000017381644339,0.15000211655714785,-6.010437063865821e-08
1746638362.9837887,-0.4430814829195529,-0.5000017398866696,0.15000239893273018,-6.443564093248379e-08
1746638363.004676,-0.43798150940878844,-0.5000017415480132,0.15000214368710277,-9.583654837393387e-08
1746638363.070051,-0.4328815165841679,-0.5000017433069464,0.15000144254268435,-1.153681580838048e-07
1746638363.0863256,-0.42778151326490854,-0.5000017451682012,0.15000173767609284,-1.1469213217123815e-07
1746638363.1656451,-0.42268150420897505,-0.5000017469025729,0.1500038826497447,-1.1007383775275037e-07
1746638363.1890228,-0.41758149024698954,-0.500001748584334,0.15000491381793898,-1.1727842387609923e-07
1746638363.277272,-0.4124814673052511,-0.5000017501890818,0.15000428044869188,-1.2002657343171928e-07
1746638363.3634937,-0.4073814461799908,-0.5000017518234612,0.15000317964379484,-1.120745682597759e-07
1746638363.3853068,-0.40228145165663126,-0.50000175330077,0.15000146152079094,-1.2590050271554474e-07
1746638363.4132664,-0.39718146048903097,-0.5000017550210545,0.15000345064645418,-9.670612328792008e-08
1746638363.4962993,-0.3920814707771007,-0.50000175663016,0.15000008570174225,-9.74888007791028e-08
1746638363.6625896,-0.3869814919517843,-0.5000017583505192,0.15000341154858832,-5.805881512241583e-08
1746638363.6808922,-0.3818815022341544,-0.500001760050456,0.15000276856041728,-4.2939153720664516e-08
1746638363.7671242,-0.37678150219864753,-0.5000017617296316,0.1500020712990631,-2.9495662591546872e-08
1746638363.801742,-0.37168149138953377,-0.5000017635197213,0.15000147519602613,-2.1912039252139712e-08
1746638363.876277,-0.36658147206004454,-0.5000017652278782,0.15000307882532238,2.9963702055067445e-09
1746638363.9725363,-0.3614814483115491,-0.5000017668183983,0.15000500960814764,1.5524439173842602e-08
1746638364.0748124,-0.35638143161229274,-0.5000017682674763,0.1500020870199448,-2.142490942796671e-08
1746638364.1771948,-0.35128142294341863,-0.500001769909987,0.15000410305241677,-2.396273988245887e-08
1746638364.2084367,-0.34618142190833234,-0.5000017714654116,0.15000163182542553,-4.6603373594084484e-08
1746638364.2915804,-0.3410814403946999,-0.5000017729898434,0.1500027872921975,-6.671395138368651e-08
1746638364.3075335,-0.33598145321390915,-0.500001774683954,0.15000304268253706,-7.308870254937593e-08
1746638364.3774955,-0.3308814656792663,-0.5000017763346417,0.1500041274691302,-9.25163948909936e-08
1746638364.3938658,-0.3257814690712986,-0.5000017779975535,0.15000351242253301,-1.0916379886748257e-07
1746638364.4151764,-0.3206814621293999,-0.5000017796159605,0.15000288473938486,-1.2435441461799343e-07
1746638364.4807777,-0.3155814446501014,-0.5000017812330232,0.15000217285667822,-1.3521709519836544e-07
1746638364.5032253,-0.31048141673337226,-0.5000017828859208,0.15000246890245503,-1.2311732236251513e-07
1746638364.5746272,-0.3053814155954035,-0.5000017843353384,0.15000218849237204,-1.334774113617522e-07
1746638364.5924263,-0.30028141492658317,-0.5000017859076868,0.1500041315959323,-1.1279522261938293e-07
1746638364.671221,-0.29518142172255013,-0.5000017874097923,0.15000164643504413,-1.0361694408571166e-07
1746638364.6917176,-0.29008143751608406,-0.5000017889315784,0.15000409411920887,-7.802973540745002e-08
1746638364.7742171,-0.28498144105339573,-0.5000017904996064,0.15000344811791153,-6.039010404474659e-08
1746638364.8062842,-0.27988143427785517,-0.5000017920870019,0.15000279556987678,-4.5865403366848e-08
1746638364.8824794,-0.2747814169924528,-0.5000017937448975,0.15000206344799216,-3.377429744427882e-08
1746638364.8952668,-0.26968139709060845,-0.5000017955021959,0.15000494019236582,7.583766862383026e-09
1746638364.9848268,-0.26458139598792274,-0.5000017970700108,0.15000071570492582,-2.6344391773892717e-08
1746638365.0116205,-0.2594814089826325,-0.5000017986385432,0.15000269281534798,-1.5523339073841816e-08
1746638365.079913,-0.2543814132896469,-0.5000018001445887,0.15000156164300552,-1.5307552262486355e-08
1746638365.1694036,-0.24928142953815718,-0.500001801559151,0.1500040379990257,-1.8828423739980206e-08
1746638365.2048912,-0.24418143355793412,-0.5000018029659471,0.15000342435283986,-3.654005858353227e-08
1746638365.3052654,-0.23908142729085113,-0.5000018043771742,0.15000280436467067,-5.7058544532785506e-08
1746638365.39713,-0.23398141052205154,-0.5000018058841443,0.15000210401361636,-7.914063782801743e-08
1746638365.4131086,-0.22888138335349745,-0.5000018075366942,0.15000241699793443,-8.43707254968454e-08
1746638365.4769223,-0.22378138300552886,-0.5000018090769812,0.15000215943280684,-1.156694815158717e-07
1746638365.494692,-0.21868138314588476,-0.5000018107629464,0.15000412603868263,-1.170805638033033e-07
1746638365.5668883,-0.21358139048310196,-0.5000018122410155,0.15000071285758337,-1.4706575037147688e-07
